item_code,item_description,MRP,BP,MOQ
1SDA067818R1,XT2S 160 Ekip LSIG In=100A 3p F F,44230,0,0
1SDA067819R1,XT2S 160 Ekip LSIG In=160A 3p F F,51680,0,0
1SDA067851R1,XT2S 160 Ekip LSIG In=10A 4p F F,53960,0,0
1SDA067852R1,XT2S 160 Ekip LSIG In=25A 4p F F,53960,0,0
1SDA067853R1,XT2S 160 Ekip LSIG In=63A 4p F F,52340,0,0
1SDA067854R1,XT2S 160 Ekip LSIG In=100A 4p F F,52340,0,0
1SDA067856R1,XT2S 160 Ekip LSIG In=160A 4p FF In=100%,56400,0,0
1SDA067872R1,XT2H 160 Ekip LSIG In=10A 3p F F,52550,0,0
1SDA067873R1,XT2H 160 Ekip LSIG In=25A 3p F F,52550,0,0
1SDA067874R1,XT2H 160 Ekip LSIG In=63A 3p F F,50110,0,0
1SDA067875R1,XT2H 160 Ekip LSIG In=100A 3p F F,50110,0,0
1SDA067876R1,XT2H 160 Ekip LSIG In=160A 3p F F,57190,0,0
1SDA067908R1,XT2H 160 Ekip LSIG In=10A 4p F F,62050,0,0
1SDA067909R1,XT2H 160 Ekip LSIG In=25A 4p F F,62050,0,0
1SDA067910R1,XT2H 160 Ekip LSIG In=63A 4p F F,59750,0,0
1SDA067911R1,XT2H 160 Ekip LSIG In=100A 4p F F,59750,0,0
1SDA067913R1,XT2H 160 Ekip LSIG In=160A 4p FF In=100%,63740,0,0
1SDA068141R1,XT4N 250 Ekip LSIG In=250A 3p F F,50570,0,0
1SDA068162R1,XT4N 250 Ekip LSIG In=250A 4p F F,63910,0,0
1SDA068490R1,XT4S 250 Ekip LSIG In=250A 3p F F,55220,0,0
1SDA068510R1,XT4S 250 Ekip LSIG In=250A 4p F F,65420,0,0
1SDA068530R1,XT4H 250 Ekip LSIG In=250A 3p F F,58340,0,0
1SDA068550R1,XT4H 250 Ekip LSIG In=250A 4p F F,82500,0,0
1SDA054436R1,T5N 400 TMA 320-3200 3p F F             ,33460,0,0
1SDA054437R1,T5N 400 TMA 400-4000 3p F F             ,33460,0,0
1SDA054477R1,T5N 400 TMA 320-3200 4p F F InN=100%In  ,42800,0,0
1SDA054478R1,T5N 400 TMA 400-4000 4p F F InN=100%In  ,42800,0,0
1SDA054317R1,T5N 400 PR221DS-LS/I In=400 3p F F      ,45670,0,0
1SDA054325R1,T5N 400 PR221DS-LS/I In=400 4p F F      ,52130,0,0
1SDA054323R1,T5N 400 PR222DS/P-LSIG In=400 3p F F    ,61920,0,0
1SDA054331R1,T5N 400 PR222DS/P-LSIG In=400 4p F F    ,69560,0,0
1SDA081522R1,T5N 400 PR222DS/PD-LSIG In=400 3p F F,96150,0,0
1SDA081531R1,T5N 400 PR222DS/PD-LSIG In=400 4p F F,104810,0,0
1SDA054440R1,T5S 400 TMA 320-3200 3p F F             ,36650,0,0
1SDA054441R1,T5S 400 TMA 400-4000 3p F F             ,36650,0,0
1SDA054479R1,T5S 400 TMA 320-3200 4p F F InN=100%In  ,47240,0,0
1SDA054480R1,T5S 400 TMA 400-4000 4p F F InN=100%In  ,47240,0,0
1SDA054333R1,T5S 400 PR221DS-LS/I In=400 3p F F      ,47730,0,0
1SDA054341R1,T5S 400 PR221DS-LS/I In=400 4p F F      ,62600,0,0
1SDA054339R1,T5S 400 PR222DS/P-LSIG In=400 3p F F    ,66400,0,0
1SDA054347R1,T5S 400 PR222DS/P-LSIG In=400 4p F F    ,76480,0,0
1SDA081525R1,T5S 400 PR222DS/PD-LSIG In=400 3p F F,98830,0,0
